rank	word	frequency
1142	maman	79
1143	perdre	79
1144	permettant	79
1145	revenir	79
1146	régime	79
1147	rêve	79
1148	salon	79
1149	semblait	79
1150	via	79
1151	Olivier	78
1152	carte	78
1153	chaleur	78
1154	devenue	78
1155	liés	78
1156	recherches	78
1157	suivre	78
1158	venait	78
1159	Là	77
1160	cerveau	77
1161	combat	77
1162	complètement	77
1163	continue	77
1164	coups	77
1165	développer	77
1166	faites	77
1167	fit	77
1168	hausse	77
1169	historique	77
1170	interactions	77
1171	laissé	77
1172	neuf	77
1173	paraît	77
1174	populaire	77
1175	spectacle	77
1176	visite	77
1177	Pendant	76
1178	association	76
1179	atteindre	76
1180	beauté	76
1181	celui-ci	76
1182	connaître	76
1183	gagner	76
1184	gaz	76
1185	importante	76
1186	jambes	76
1187	locaux	76
1188	médecin	76
1189	oublier	76
1190	pire	76
1191	poser	76
1192	revient	76
1193	résultat	76
1194	sept	76
1195	tenir	76
1196	tente	76
1197	tomber	76
1198	télétravail	76
1199	vent	76
1200	vérité	76
1201	énergétique	76
1202	Est	75
1203	café	75
1204	concernant	75
1205	course	75
1206	faits	75
1207	images	75
1208	limites	75
1209	logique	75
1210	masse	75
1211	notion	75
1212	sport	75
1213	artiste	74
1214	calme	74
1215	doigts	74
1216	identité	74
1217	mur	74
1218	principal	74
1219	raisons	74
1220	regarde	74
1221	reine	74
1222	représente	74
1223	règles	74
1224	trimestre	74
1225	égalité	74
1226	évidence	74
1227	Lorsque	73
1228	Mme	73
1229	Parce	73
1230	accueil	73
1231	administration	73
1232	bientôt	73
1233	capable	73
1234	clients	73
1235	constitue	73
1236	du	73
1237	fonctionnement	73
1238	haute	73
1239	montré	73
1240	né	73
1241	pauvre	73
1242	roman	73
1243	rythme	73
1244	salariés	73
1245	savait	73
1246	systèmes	73
1247	Pen	72
1248	Pierre	72
1249	armée	72
1250	artistes	72
1251	commencer	72
1252	humains	72
1253	mondiale	72
1254	possibilité	72
1255	publiques	72
1256	rejoindre	72
1257	repas	72
1258	revanche	72
1259	réussi	72
1260	sent	72
1261	vaut	72
1262	Guy	71
1263	agir	71
1264	annonce	71
1265	apporter	71
1266	concept	71
1267	demeure	71
1268	enjeu	71
1269	institutions	71
1270	mauvaise	71
1271	objectifs	71
1272	outre	71
1273	ouvrir	71
1274	puissance	71
1275	scientifique	71
1276	souvenir	71
1277	style	71
1278	tes	71
1279	totalement	71
1280	troubles	71
1281	utiliser	71
1282	virus	71
1283	Cependant	70
1284	Conseil	70
1285	animal	70
1286	cherche	70
1287	chien	70
1288	connaissances	70
1289	critique	70
1290	diversité	70
1291	françaises	70
1292	futur	70
1293	garder	70
1294	impact	70
1295	ombre	70
1296	philosophie	70
1297	plateformes	70
1298	proposer	70
1299	puisse	70
1300	quinze	70
1301	relève	70
1302	restaurant	70
1303	réduire	70
1304	suivant	70
1305	vins	70
1306	éducation	70
1307	épaules	70
1308	David	69
1309	Malgré	69
1310	atteint	69
1311	conflit	69
1312	cuir	69
1313	domaines	69
1314	double	69
1315	extrême	69
1316	films	69
1317	lèvres	69
1318	passant	69
1319	perspective	69
1320	pièces	69
1321	preuve	69
1322	professionnel	69
1323	quelqu'un	69
1324	situations	69
1325	souligne	69
1326	valeurs	69
1327	veille	69
1328	vivant	69
1329	Figure	68
1330	Marine	68
1331	Sous	68
1332	arriver	68
1333	baisse	68
1334	bonnes	68
1335	capitale	68
1336	caractéristiques	68
1337	contact	68
1338	couleur	68
1339	couleurs	68
1340	danger	68
1341	définition	68
1342	garçon	68
1343	habitants	68
1344	industrie	68
1345	lendemain	68
1346	logement	68
1347	lundi	68
1348	or	68
1349	parfaitement	68
1350	photo	68
1351	pression	68
1352	principalement	68
1353	rendu	68
1354	solutions	68
1355	version	68
1356	voulais	68
1357	édition	68
1358	élevé	68
1359	évidemment	68
1360	New	67
1361	acte	67
1362	bons	67
1363	commune	67
1364	cour	67
1365	facile	67
1366	lettres	67
1367	maître	67
1368	objets	67
1369	phénomène	67
1370	reconnaissance	67
1371	restent	67
1372	source	67
1373	théorie	67
1374	venu	67
1375	échanges	67
1376	épouse	67
1377	Leur	66
1378	Mes	66
1379	Parmi	66
1380	Voilà	66
1381	ajoute	66
1382	annoncé	66
1383	appris	66
1384	chaud	66
1385	formations	66
1386	jeunesse	66
1387	lance	66
1388	liens	66
1389	moments	66
1390	mourir	66
1391	passion	66
1392	portée	66
1393	poursuit	66
1394	reprendre	66
1395	responsabilité	66
1396	robe	66
1397	sauf	66
1398	statut	66
1399	stress	66
1400	telles	66
1401	textes	66
1402	viennent	66
1403	élection	66
1404	Entre	65
1405	Peut-être	65
1406	comportements	65
1407	cuisson	65
1408	huile	65
1409	individu	65
1410	justice	65
1411	multiples	65
1412	néanmoins	65
1413	pandémie	65
1414	port	65
1415	portes	65
1416	repose	65
1417	tenue	65
1418	trente	65
1419	visant	65
1420	écoute	65
1421	élus	65
1422	émotions	65
1423	Moi	64
1424	Quant	64
1425	clair	64
1426	célèbre	64
1427	décide	64
1428	entend	64
1429	espère	64
1430	exercice	64
1431	fenêtre	64
1432	fera	64
1433	ferme	64
1434	feuilles	64
1435	forcément	64
1436	hasard	64
1437	match	64
1438	note	64
1439	partage	64
1440	performance	64
1441	personnage	64
1442	produire	64
1443	précisément	64
1444	riche	64
1445	récit	64
1446	samedi	64
1447	événement	64
1448	Fondation	63
1449	N'	63
1450	Quel	63
1451	York	63
1452	appelé	63
1453	classique	63
1454	dois	63
1455	efforts	63
1456	entier	63
1457	espaces	63
1458	faute	63
1459	forces	63
1460	g	63
1461	informations	63
1462	issue	63
1463	maladies	63
1464	modèles	63
1465	opération	63
1466	professeur	63
1467	rapports	63
1468	rares	63
1469	souffle	63
1470	tenu	63
1471	univers	63
1472	vacances	63
1473	vague	63
1474	Michel	62
1475	améliorer	62
1476	arrivé	62
1477	attachement	62
1478	changé	62
1479	continuer	62
1480	emplois	62
1481	identifier	62
1482	joueurs	62
1483	lettre	62
1484	n	62
1485	nécessaires	62
1486	nécessité	62
1487	protéger	62
1488	préparer	62
1489	réflexion	62
1490	sites	62
1491	suffisamment	62
1492	vise	62
1493	zone	62
1494	acheter	61
1495	anglais	61
1496	angoisse	61
1497	apprentissage	61
1498	autorité	61
1499	comptes	61
1500	condition	61
1501	contrat	61
1502	demanda	61
1503	demandes	61
1504	défense	61
1505	entretien	61
1506	finale	61
1507	foi	61
1508	frères	61
1509	fête	61
1510	grave	61
1511	handicap	61
1512	humanité	61
1513	humour	61
1514	joie	61
1515	métiers	61
1516	orientation	61
1517	ouverture	61
1518	prises	61
1519	probablement	61
1520	proximité	61
1521	prêt	61
1522	sac	61
1523	signifie	61
1524	sommeil	61
1525	structure	61
1526	surprise	61
1527	tâches	61
1528	échange	61
1529	échapper	61
1530	élève	61
1531	établir	61
1532	œuvres	61
1533	Jacques	60
1534	Jésus	60
1535	Mélenchon	60
1536	chercheurs	60
1537	château	60
1538	comprend	60
1539	différence	60
1540	domicile	60
1541	effort	60
1542	extérieur	60
1543	immense	60
1544	immédiatement	60
1545	impossible	60
1546	internationale	60
1547	kilomètres	60
1548	message	60
1549	offrir	60
1550	opposition	60
1551	paix	60
1552	papier	60
1553	photos	60
1554	plantes	60
1555	portant	60
1556	porté	60
1557	quant	60
1558	rappeler	60
1559	responsables	60
1560	réforme	60
1561	réseau	60
1562	secondes	60
1563	suffit	60
1564	sujets	60
1565	transformation	60
1566	étapes	60
1567	événements	60
1568	Empire	59
1569	actes	59
1570	aimait	59
1571	ajouter	59
1572	application	59
1573	boîte	59
1574	cellules	59
1575	climat	59
1576	club	59
1577	commission	59
1578	courant	59
1579	envers	59
1580	guère	59
1581	international	59
1582	limite	59
1583	médias	59
1584	odeur	59
1585	principaux	59
1586	présents	59
1587	quitte	59
1588	retard	59
1589	section	59
1590	sentir	59
1591	travaille	59
1592	trouvait	59
1593	violence	59
1594	accompagner	58
1595	alimentaire	58
1596	arrête	58
1597	bleu	58
1598	chiffre	58
1599	colère	58
1600	conseil	58
1601	difficulté	58
1602	décisions	58
1603	efficace	58
1604	employés	58
1605	faveur	58
1606	hôpital	58
1607	intervention	58
1608	longues	58
1609	opérations	58
1610	profession	58
1611	réaction	58
1612	spécifique	58
1613	sélection	58
1614	sœurs	58
1615	télévision	58
1616	villes	58
1617	violences	58
1618	écoles	58
1619	économiques	58
1620	étranger	58
1621	C	57
1622	Jean-Luc	57
1623	SL	57
1624	acteur	57
1625	arrêter	57
1626	chargé	57
